Sample	LST
TCGA-3M-AB46	25
TCGA-3M-AB47	2
TCGA-B7-5816	7
TCGA-B7-5818	5
TCGA-B7-A5TI	18
TCGA-B7-A5TJ	11
TCGA-B7-A5TK	4
TCGA-B7-A5TN	27
TCGA-BR-4183	25
TCGA-BR-4184	5
TCGA-BR-4187	0
TCGA-BR-4188	10
TCGA-BR-4191	24
TCGA-BR-4201	4
TCGA-BR-4253	2
TCGA-BR-4255	15
TCGA-BR-4257	3
TCGA-BR-4267	24
TCGA-BR-4279	9
TCGA-BR-4292	4
TCGA-BR-4294	3
TCGA-BR-4357	17
TCGA-BR-4361	2
TCGA-BR-4362	0
TCGA-BR-4363	0
TCGA-BR-4366	22
TCGA-BR-4367	31
TCGA-BR-4368	3
TCGA-BR-4369	36
TCGA-BR-4370	8
TCGA-BR-4371	8
TCGA-BR-6452	0
TCGA-BR-6453	14
TCGA-BR-6454	25
TCGA-BR-6455	0
TCGA-BR-6456	35
TCGA-BR-6458	19
TCGA-BR-6564	14
TCGA-BR-6565	15
TCGA-BR-6566	1
TCGA-BR-6706	4
TCGA-BR-6707	1
TCGA-BR-6709	13
TCGA-BR-6710	0
TCGA-BR-6802	3
TCGA-BR-6803	3
TCGA-BR-6852	3
TCGA-BR-7197	14
TCGA-BR-7703	9
TCGA-BR-7704	17
TCGA-BR-7707	1
TCGA-BR-7715	8
TCGA-BR-7716	28
TCGA-BR-7717	18
TCGA-BR-7722	3
TCGA-BR-7723	23
TCGA-BR-7851	1
TCGA-BR-7957	8
TCGA-BR-7958	14
TCGA-BR-7959	19
TCGA-BR-8058	14
TCGA-BR-8059	43
TCGA-BR-8060	28
TCGA-BR-8077	17
TCGA-BR-8080	15
TCGA-BR-8081	1
TCGA-BR-8284	13
TCGA-BR-8285	5
TCGA-BR-8286	17
TCGA-BR-8289	20
TCGA-BR-8291	7
TCGA-BR-8295	9
TCGA-BR-8296	18
TCGA-BR-8297	21
TCGA-BR-8360	9
TCGA-BR-8361	15
TCGA-BR-8362	9
TCGA-BR-8363	9
TCGA-BR-8365	12
TCGA-BR-8366	11
TCGA-BR-8367	18
TCGA-BR-8368	16
TCGA-BR-8369	20
TCGA-BR-8370	3
TCGA-BR-8371	0
TCGA-BR-8372	0
TCGA-BR-8373	15
TCGA-BR-8380	7
TCGA-BR-8381	5
TCGA-BR-8382	2
TCGA-BR-8384	3
TCGA-BR-8483	10
TCGA-BR-8484	15
TCGA-BR-8485	19
TCGA-BR-8486	14
TCGA-BR-8487	2
TCGA-BR-8588	14
TCGA-BR-8589	3
TCGA-BR-8591	1
TCGA-BR-8676	2
TCGA-BR-8678	12
TCGA-BR-8679	20
TCGA-BR-8680	8
TCGA-BR-8682	9
TCGA-BR-8683	13
TCGA-BR-8686	18
TCGA-BR-8687	7
TCGA-BR-8690	27
TCGA-BR-A44U	5
TCGA-BR-A452	20
TCGA-BR-A453	1
TCGA-BR-A4CQ	27
TCGA-BR-A4CR	10
TCGA-BR-A4CS	10
TCGA-BR-A4IV	0
TCGA-BR-A4IY	23
TCGA-BR-A4IZ	0
TCGA-BR-A4J1	12
TCGA-BR-A4J2	1
TCGA-BR-A4J4	9
TCGA-BR-A4J5	0
TCGA-BR-A4J6	8
TCGA-BR-A4J7	21
TCGA-BR-A4J8	5
TCGA-BR-A4J9	7
TCGA-BR-A4PD	22
TCGA-BR-A4PE	22
TCGA-BR-A4PF	10
TCGA-BR-A4QI	14
TCGA-BR-A4QL	3
TCGA-BR-A4QM	11
TCGA-CD-5798	17
TCGA-CD-5799	19
TCGA-CD-5800	30
TCGA-CD-5801	9
TCGA-CD-5802	18
TCGA-CD-5803	11
TCGA-CD-5804	15
TCGA-CD-8524	17
TCGA-CD-8525	22
TCGA-CD-8526	1
TCGA-CD-8527	25
TCGA-CD-8528	10
TCGA-CD-8529	31
TCGA-CD-8530	13
TCGA-CD-8531	7
TCGA-CD-8532	8
TCGA-CD-8533	19
TCGA-CD-8534	11
TCGA-CD-8535	8
TCGA-CD-8536	2
TCGA-CD-A486	16
TCGA-CD-A487	16
TCGA-CD-A489	7
TCGA-CD-A48A	32
TCGA-CD-A48C	17
TCGA-CD-A4MG	5
TCGA-CD-A4MH	8
TCGA-CD-A4MI	0
TCGA-CD-A4MJ	1
TCGA-CG-4300	23
TCGA-CG-4301	24
TCGA-CG-4304	14
TCGA-CG-4305	1
TCGA-CG-4306	1
TCGA-CG-4436	12
TCGA-CG-4437	34
TCGA-CG-4438	19
TCGA-CG-4440	17
TCGA-CG-4441	2
TCGA-CG-4442	0
TCGA-CG-4443	27
TCGA-CG-4444	17
TCGA-CG-4449	13
TCGA-CG-4455	12
TCGA-CG-4460	16
TCGA-CG-4462	2
TCGA-CG-4465	2
TCGA-CG-4466	15
TCGA-CG-4469	4
TCGA-CG-4472	18
TCGA-CG-4474	8
TCGA-CG-4475	30
TCGA-CG-4476	24
TCGA-CG-4477	27
TCGA-CG-5716	0
TCGA-CG-5718	20
TCGA-CG-5719	11
TCGA-CG-5720	5
TCGA-CG-5721	0
TCGA-CG-5722	2
TCGA-CG-5723	3
TCGA-CG-5724	19
TCGA-CG-5725	32
TCGA-CG-5726	1
TCGA-CG-5727	15
TCGA-CG-5728	2
TCGA-CG-5730	12
TCGA-CG-5732	14
TCGA-CG-5733	3
TCGA-CG-5734	0
TCGA-D7-5577	7
TCGA-D7-5578	15
TCGA-D7-5579	25
TCGA-D7-6518	8
TCGA-D7-6519	19
TCGA-D7-6520	15
TCGA-D7-6521	13
TCGA-D7-6522	0
TCGA-D7-6524	4
TCGA-D7-6525	23
TCGA-D7-6526	28
TCGA-D7-6527	26
TCGA-D7-6528	21
TCGA-D7-6815	13
TCGA-D7-6817	23
TCGA-D7-6818	12
TCGA-D7-6820	15
TCGA-D7-6822	23
TCGA-D7-8570	30
TCGA-D7-8572	2
TCGA-D7-8573	7
TCGA-D7-8574	0
TCGA-D7-8575	11
TCGA-D7-8576	19
TCGA-D7-8578	6
TCGA-D7-8579	6
TCGA-D7-A4YT	30
TCGA-D7-A4YU	4
TCGA-D7-A4YV	1
TCGA-D7-A4YX	4
TCGA-D7-A4YY	16
TCGA-D7-A4Z0	4
TCGA-D7-A6ET	0
TCGA-D7-A6EV	23
TCGA-D7-A6EX	12
TCGA-D7-A6EY	8
TCGA-D7-A6EZ	10
TCGA-D7-A6F0	18
TCGA-D7-A6F2	16
TCGA-D7-A747	0
TCGA-D7-A748	9
TCGA-D7-A74A	18
TCGA-EQ-5647	21
TCGA-EQ-8122	18
TCGA-EQ-A4SO	25
TCGA-F1-6177	0
TCGA-F1-6874	4
TCGA-F1-6875	8
TCGA-F1-A448	6
TCGA-F1-A72C	6
TCGA-FP-7735	12
TCGA-FP-7829	15
TCGA-FP-7916	22
TCGA-FP-7998	6
TCGA-FP-8099	15
TCGA-FP-8209	0
TCGA-FP-8210	0
TCGA-FP-8211	29
TCGA-FP-8631	25
TCGA-FP-A4BE	30
TCGA-FP-A4BF	21
TCGA-FP-A8CX	13
TCGA-FP-A9TM	19
TCGA-HF-7131	17
TCGA-HF-7132	20
TCGA-HF-7133	22
TCGA-HF-7134	0
TCGA-HF-7136	20
TCGA-HF-A5NB	4
TCGA-HJ-7597	6
TCGA-HU-8238	10
TCGA-HU-8243	17
TCGA-HU-8245	8
TCGA-HU-8249	23
TCGA-HU-8604	20
TCGA-HU-8608	2
TCGA-HU-8610	29
TCGA-HU-A4G2	2
TCGA-HU-A4G3	0
TCGA-HU-A4G6	3
TCGA-HU-A4G8	5
TCGA-HU-A4G9	5
TCGA-HU-A4GC	18
TCGA-HU-A4GD	14
TCGA-HU-A4GF	15
TCGA-HU-A4GH	27
TCGA-HU-A4GJ	2
TCGA-HU-A4GN	0
TCGA-HU-A4GP	21
TCGA-HU-A4GQ	2
TCGA-HU-A4GT	3
TCGA-HU-A4GU	22
TCGA-HU-A4GX	4
TCGA-HU-A4GY	12
TCGA-HU-A4H0	12
TCGA-HU-A4H2	21
TCGA-HU-A4H3	15
TCGA-HU-A4H4	17
TCGA-HU-A4H5	50
TCGA-HU-A4H6	23
TCGA-HU-A4H8	3
TCGA-HU-A4HB	0
TCGA-HU-A4HD	24
TCGA-IN-7806	9
TCGA-IN-7808	18
TCGA-IN-8462	10
TCGA-IN-8663	14
TCGA-IN-A6RI	8
TCGA-IN-A6RJ	32
TCGA-IN-A6RL	42
TCGA-IN-A6RN	12
TCGA-IN-A6RO	14
TCGA-IN-A6RP	23
TCGA-IN-A6RR	20
TCGA-IN-A6RS	14
TCGA-IN-A7NT	7
TCGA-IN-A7NU	29
TCGA-IN-AB1V	13
TCGA-IN-AB1X	6
TCGA-IP-7968	8
TCGA-KB-A6F5	21
TCGA-KB-A6F7	14
TCGA-KB-A93G	0
TCGA-KB-A93H	17
TCGA-KB-A93J	26
TCGA-MX-A5UG	0
TCGA-MX-A663	17
TCGA-MX-A666	20
TCGA-R5-A7O7	15
TCGA-R5-A7ZE	17
TCGA-R5-A7ZF	4
TCGA-R5-A7ZI	32
TCGA-R5-A7ZR	8
TCGA-R5-A805	17
TCGA-RD-A7BS	19
TCGA-RD-A7BT	16
TCGA-RD-A7C1	33
TCGA-RD-A8MV	27
TCGA-RD-A8MW	30
TCGA-RD-A8N0	0
TCGA-RD-A8N1	27
TCGA-RD-A8N2	0
TCGA-RD-A8N6	24
TCGA-RD-A8N9	18
TCGA-RD-A8NB	13
TCGA-SW-A7EA	7
TCGA-SW-A7EB	16
TCGA-VQ-A8DL	36
TCGA-VQ-A8DU	26
TCGA-VQ-A8DV	25
TCGA-VQ-A8DZ	13
TCGA-VQ-A8E0	15
TCGA-VQ-A8E2	17
TCGA-VQ-A8E3	10
TCGA-VQ-A8E7	14
TCGA-VQ-A8P2	0
TCGA-VQ-A8P3	1
TCGA-VQ-A8P5	25
TCGA-VQ-A8P8	6
TCGA-VQ-A8PC	25
TCGA-VQ-A8PE	17
TCGA-VQ-A8PF	7
TCGA-VQ-A8PH	16
TCGA-VQ-A8PJ	17
TCGA-VQ-A8PK	15
TCGA-VQ-A8PO	6
TCGA-VQ-A8PP	1
TCGA-VQ-A8PS	12
TCGA-VQ-A8PT	1
TCGA-VQ-A8PU	31
TCGA-VQ-A8PX	27
TCGA-VQ-A8PY	13
TCGA-VQ-A8PZ	15
TCGA-VQ-A91A	16
TCGA-VQ-A91D	3
TCGA-VQ-A91E	3
TCGA-VQ-A91K	6
TCGA-VQ-A91N	29
TCGA-VQ-A91Q	16
TCGA-VQ-A91S	19
TCGA-VQ-A91U	22
TCGA-VQ-A91V	15
TCGA-VQ-A91W	0
TCGA-VQ-A91X	12
TCGA-VQ-A91Y	13
TCGA-VQ-A91Z	18
TCGA-VQ-A922	24
TCGA-VQ-A923	4
TCGA-VQ-A924	0
TCGA-VQ-A925	25
TCGA-VQ-A927	0
TCGA-VQ-A928	2
TCGA-VQ-A92D	6
TCGA-VQ-A94O	12
TCGA-VQ-A94P	0
TCGA-VQ-A94R	24
TCGA-VQ-A94T	12
TCGA-VQ-A94U	10
TCGA-VQ-AA64	34
TCGA-VQ-AA68	20
TCGA-VQ-AA69	3
TCGA-VQ-AA6A	15
TCGA-VQ-AA6B	3
TCGA-VQ-AA6D	17
TCGA-VQ-AA6G	6
TCGA-VQ-AA6I	9
TCGA-VQ-AA6J	16
TCGA-VQ-AA6K	12
TCGA-ZA-A8F6	1
TCGA-ZQ-A9CR	16
